descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Student Enrollment,Student Enrollment,Student Enrollment,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Transfer Student,Transfer Student,Transfer Student,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Manifestation Determination Review,Manifestation Determination Review,Manifestation Determination Review,11/1/2025,,,
iepStatusDescriptors,uri://sedm.sc.gov/IepStatusDescriptor,Active,Active,Active,11/1/2025,,,
iepStatusDescriptors,uri://sedm.sc.gov/IepStatusDescriptor,Inactive,Inactive,Inactive,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,1,Inside regular class 80% or more of the day,Inside regular class 80% or more of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,2,Inside regular class 40% through 79% of the day,Inside regular class 40% through 79% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,3,Inside regular class less than 40% of the day,Inside regular class less than 40% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,6,Residential Facility,Residential Facility,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8,Homebound/Hospital,Homebound/Hospital,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8a,Homebound/Hospital Medical Homebound,Homebound/Hospital Medical Homebound,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8b,Homebound/Hospital Hospital,Homebound/Hospital Hospital,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8c,Homebound/Hospital Home-based,Homebound/Hospital Home-based,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,16,Correctional Facilities,Correctional Facilities,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,17,Parentally placed in private schools,Parentally placed in private schools,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,13,Separate School,Separate School,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,9,Services in Regular Early Childhood Program (at least 10 hours),Services in Regular Early Childhood Program (at least 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,10,Other Location Regular Early Childhood Program (at least 10 hours),Other Location Regular Early Childhood Program (at least 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,11,Services in Regular Early Childhood Program (less than 10 hours),Services in Regular Early Childhood Program (less than 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,12,Other Location Regular Early Childhood Program (less than 10 hours),Other Location Regular Early Childhood Program (less than 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,4,Separate Class,Separate Class,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,5,Separate School,Separate School,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,14,Residential Facility,Residential Facility,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,7,Home,Home,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,15,Service Provider Location,Service Provider Location,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,RC80,Inside regular class 80% or more of the day,Inside regular class 80% or more of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,RC79TO40,Inside regular class 40% through 79% of the day,Inside regular class 40% through 79% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,RC39,Inside regular class less than 40% of the day,Inside regular class less than 40% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,RF,Residential Facility,Residential Facility,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,HH,Homebound/Hospital,Homebound/Hospital,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,CF,Correctional Facilities,Correctional Facilities,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,PPPS,Parentally placed in private schools,Parentally placed in private schools,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,SS,Separate School,Separate School,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,REC10YSVCS,Services in Regular Early Childhood Program (at least 10 hours),Services in Regular Early Childhood Program (at least 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,REC10YOTHLOC,Other Location Regular Early Childhood Program (at least 10 hours),Other Location Regular Early Childhood Program (at least 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,REC09YSVCS,Services in Regular Early Childhood Program (less than 10 hours),Services in Regular Early Childhood Program (less than 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,REC09YOTHLOC,Other Location Regular Early Childhood Program (less than 10 hours),Other Location Regular Early Childhood Program (less than 10 hours),11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,SC,Separate Class,Separate Class,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,SS,Separate School,Separate School,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,RF,Residential Facility,Residential Facility,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,H,Home,Home,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.edfacts.gov/SpecialEducationSettingDescriptor,SPL,Service Provider Location,Service Provider Location,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,1,Super User,Super User,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,16,Occupational Therapist,Occupational Therapist,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,17,Audiologist,Audiologist,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,18,Physical Therapist,Physical Therapist,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,27,RBHS Clinical - Master's Level,RBHS Clinical - Master's Level,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,28,RBHS Approver,RBHS Approver,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,38,School Nurse - RN,School Nurse - RN,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,40,School Nurse - LPN,School Nurse - LPN,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,41,Lead School Nurse,Lead School Nurse,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,49,Team Lead/Case Manager,Team Lead/Case Manager,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,55,EDPlan Power User,EDPlan Power User,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,58,Speech-Language Pathologist,Speech-Language Pathologist,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,59,District Administrator,District Administrator,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,60,Other Service Provider,Other Service Provider,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,62,Non-Provisioned User,Non-Provisioned User,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,69,FFS Admin,FFS Admin,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,73,Nurse Admin,Nurse Admin,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,74,RBHS Admin,RBHS Admin,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,76,FFS Lead,FFS Lead,11/1/2025,,,
serviceProviderTypeDescriptors,uri://sedm.sc.gov/ServiceProviderTypeDescriptor,83,SNAP User,SNAP User,11/1/2025,,,
iepGoalDescriptors,uri://sedm.sc.gov/IepGoalDescriptor,Academic Achievement,Academic Achievement,Academic Achievement,11/1/2025,,,
iepGoalDescriptors,uri://sedm.sc.gov/IepGoalDescriptor,Functional Performance,Functional Performance,Functional Performance,11/1/2025,,,
iepGoalDescriptors,uri://sedm.sc.gov/IepGoalDescriptor,Transition - Functional Performance,Transition - Functional Performance,Transition - Functional Performance,11/1/2025,,,
iepGoalDescriptors,uri://sedm.sc.gov/IepGoalDescriptor,Transition - Academic Achievement,Transition - Academic Achievement,Transition - Academic Achievement,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Transportation,Transportation,Transportation,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Speech and Language (Special Education),Speech and Language (Special Education),Speech and Language (Special Education),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Reading,Reading,Reading,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Functional Academics,Functional Academics,Functional Academics,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Written Expression,Written Expression,Written Expression,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Nursing,Nursing,Nursing,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Math,Math,Math,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Functional Communication,Functional Communication,Functional Communication,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Occupational Therapy,Occupational Therapy,Occupational Therapy,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Social/Emotional,Social/Emotional,Social/Emotional,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Daily Living,Daily Living,Daily Living,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Transition,Transition,Transition,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Organization/Study Skills,Organization/Study Skills,Organization/Study Skills,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Speech and Language (Related Service),Speech and Language (Related Service),Speech and Language (Related Service),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Hearing Services,Hearing Services,Hearing Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Pre-Academic Readiness,Pre-Academic Readiness,Pre-Academic Readiness,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Counseling,Counseling,Counseling,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Behavior,Behavior,Behavior,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Adapted Physical Education,Adapted Physical Education,Adapted Physical Education,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Physical Therapy,Physical Therapy,Physical Therapy,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Audiological Services,Audiological Services,Audiological Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Nursing Services,Nursing Services,Nursing Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Sensory,Sensory,Sensory,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Medication Administration,Medication Administration,Medication Administration,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Hearing,Hearing,Hearing,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Vision (Special Education),Vision (Special Education),Vision (Special Education),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Orientation and Mobility,Orientation and Mobility,Orientation and Mobility,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Adaptive Physical Education,Adaptive Physical Education,Adaptive Physical Education,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Behavior Services,Behavior Services,Behavior Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Occupational Therapy Services,Occupational Therapy Services,Occupational Therapy Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Assistive Technology,Assistive Technology,Assistive Technology,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Fine Motor,Fine Motor,Fine Motor,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Orientation and Mobility Services,Orientation and Mobility Services,Orientation and Mobility Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Interpreter,Interpreter,Interpreter,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Gross Motor,Gross Motor,Gross Motor,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Non-Emergency Transportation Services - Daily,Non-Emergency Transportation Services - Daily,Non-Emergency Transportation Services - Daily,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Audiological Services (Special Education),Audiological Services (Special Education),Audiological Services (Special Education),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Non-Emergency Transportation Services - Weekly,Non-Emergency Transportation Services - Weekly,Non-Emergency Transportation Services - Weekly,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Physical Therapy Services,Physical Therapy Services,Physical Therapy Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Speech and Language Services,Speech and Language Services,Speech and Language Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Enrichment,Enrichment,Enrichment,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Bus/District Transportation,Bus/District Transportation,Bus/District Transportation,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Therapy Room (Small Group),Special Education Therapy Room (Small Group),Special Education Therapy Room (Small Group),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Classroom,Special Education Classroom,Special Education Classroom,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,School Environment,School Environment,School Environment,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Classroom,General Education Classroom,General Education Classroom,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Classroom (Virtual),General Education Classroom (Virtual),General Education Classroom (Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education (Home),Special Education (Home),Special Education (Home),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Classroom (Virtual),Special Education Classroom (Virtual),Special Education Classroom (Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,School Counselor's Office,School Counselor's Office,School Counselor's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Therapy Room (Individual),Special Education Therapy Room (Individual),Special Education Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Teletherapy(Small Group Virt),Special Education Teletherapy (Small Group Virtual),Special Education Teletherapy (Small Group Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Nurse's Office,Nurse's Office,Nurse's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Teletherapy (Individual Virtual),Special Education Teletherapy (Individual Virtual),Special Education Teletherapy (Individual Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Community,Community,Community,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education School Counselor's Office,Special Education School Counselor's Office,Special Education School Counselor's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Cafeteria,General Education Cafeteria,General Education Cafeteria,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Home,Home,Home,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Support Room,Special Education Support Room,Special Education Support Room,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Community,Special Education Community,Special Education Community,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Nurse's Office,Special Education Nurse's Office,Special Education Nurse's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Hospital/Medical Homebound,Special Education Hospital/Medical Homebound,Special Education Hospital/Medical Homebound,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Occupational Therapy Room (Individual),Occupational Therapy Room (Individual),Occupational Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Physical Therapy Room (Individual),Physical Therapy Room (Individual),Physical Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Speech Therapy Room (Small Group),Speech Therapy Room (Small Group),Speech Therapy Room (Small Group),11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,NS,No-Show,No-Show,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W20,Withdrawn/Unknown Status,Withdrawn/Unknown Status,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W22,Transfer/Out of District,Transfer/Out of District,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W25,Withdrawn/Home Schooled,Withdrawn/Home Schooled,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W31,Withdrawn/Juvenile Corrections,Withdrawn/Juvenile Corrections,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W24,Moved Out of District/School Unknown,Moved Out of District/School Unknown,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W10,Transfer/In-District,Transfer/In-District,11/1/2025,,,
reasonExitedDescriptors,uri://sedm.sc.gov/ReasonExitedDescriptor,W23,Transfer/Adult Education,Transfer/Adult Education,11/1/2025,,,
